10,96,1
8,97,1
9,96,1
8,98,1
7,100,1
6,99,1
7,100,1
8,97,1
9,97,1
10,98,1
8,98,1
6,97,1
7,98,1
9,96,1
6,98,1
6,97,1
6,96,1
8,99,1
6,99,1
10,97,1
10,100,1
6,97,1
9,96,1
7,97,1
7,97,1
7,97,1
8,100,1
7,99,1
9,96,1
6,98,1
10,99,1
9,100,1
9,99,1
8,97,1
9,100,1
6,96,1
10,96,1
10,99,1
6,97,1
7,98,1
2,90,2
2,93,2
2,91,2
1,89,2
1,95,2
2,95,2
5,93,2
5,95,2
4,95,2
5,94,2
5,94,2
4,89,2
5,95,2
1,94,2
4,89,2
1,91,2
1,89,2
1,94,2
3,91,2
2,95,2
3,93,2
3,89,2
4,92,2
2,94,2
3,93,2
5,94,2
3,93,2
3,92,2
4,93,2
5,91,2
5,92,2
5,91,2
5,94,2
3,90,2
1,94,2
4,92,2
4,94,2
5,93,2
4,95,2
2,90,2
